name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
Diputación de Málaga Datos Abiertos,Diputación de Málaga,Spain,http://www.malaga.es/gobiernoabierto/,,,"36.6891222, -4.4441349",FALSE,,Spain - Diputación de Málaga Datos Abiertos
Direcção Nacional De Geologia,Mozambique,Mozambique,http://www.dng.gov.mz/,,,"-25.95, 32.5833",,,Mozambique - Direcção Nacional De Geologia
Dirección De Meteorología E Hidrología,Paraguay,Paraguay,http://meteorologia.gov.py/,,,"-25.2667, -57.6667",,,Paraguay - Dirección De Meteorología E Hidrología
Dirección General De Estadística Y Cuentas Nacionales,Equatorial Guinea,Equatorial Guinea,http://dgecnstat-ge.org,,,"3.45, 8.55",,,Equatorial Guinea - Dirección General De Estadística Y Cuentas Nacionales
"Dirección General De Estadística, Encuestas Y Censos",Paraguay,Paraguay,http://www.dgeec.gov.py/,,,"-25.2667, -57.6667",,,"Paraguay - Dirección General De Estadística, Encuestas Y Censos"
Direccion General De Estadstica Y Censos,El Salvador,El Salvador,http://www.digestyc.gob.sv/,,,"13.6667, -89.1667",,,El Salvador - Direccion General De Estadstica Y Censos
Dirección General De Meteorología,Nicaragua,Nicaragua,http://ineter.gob.ni/,,,"13.0, -85.0",,,Nicaragua - Dirección General De Meteorología
Dirección Genral de Planificación,Ministerio de Educación,Bolivia,http://seie.minedu.gob.bo/reportes/estadisticas/grupo1/abandono,,,"-16.5023775, -68.1336451",,,Bolivia - Dirección Genral de Planificación
Dirección Meteorológica De Chile,Chile,Chile,http://meteochile.cl/,,,"-33.4333, -70.6667",,,Chile - Dirección Meteorológica De Chile
Dirección Nacional De Meteorología,Uruguay,Uruguay,http://meteorologia.com.uy/,,,"-34.8833, -56.1667",,,Uruguay - Dirección Nacional De Meteorología
Direction De La Météorologie Nationale,Niger,Niger,http://meteo-niger.net/,,,"13.5333, 2.0833",,,Niger - Direction De La Météorologie Nationale
Direction De La Météorologie Nationale,Morocco,Morocco,http://marocmeteo.ma/,,,"32.0, -6.0",,,Morocco - Direction De La Météorologie Nationale
Direction De La Météorologie Nationale,"Congo, Republic Of","Congo, Republic Of",http://www.meteo-congo-brazza.net/,,,"-1.44, 15.556",,,"Congo, Republic Of - Direction De La Météorologie Nationale"
Direction Générale De La Météorologie,Madagascar,Madagascar,http://meteomadagascar.mg/,,,"-20.0, 47.0",,,Madagascar - Direction Générale De La Météorologie
Direction Générale De La Statistique,Central African Republic,Central African Republic,http://stat-centrafrique.com/,,,"4.3667, 18.5833",,,Central African Republic - Direction Générale De La Statistique
Direction Générale Des Statistiques Du Gabon,Gabon,Gabon,http://stat-gabon.org,,,"0.3833, 9.45",,,Gabon - Direction Générale Des Statistiques Du Gabon
Direction Nationale De La Statistique,Guinea,Guinea,http://stat-guinee.org,,,"9.5167, -13.7",,,Guinea - Direction Nationale De La Statistique
Direction Nationale De La Statistique,Djibouti,Djibouti,http://ministere-finances.dj/statist.htm,,,"11.5883, 43.145",,,Djibouti - Direction Nationale De La Statistique
